sample,syst,bin,ratio
ttbbDL,JERup,6,0.7333789896281285
ttbbDL,JERup,7,0.6971739944925517
ttbbDL,JERup,8,0.6636508240760437
ttbbDL,JERup,9,0.6261044927134812
ttbbDL,JERup,10,0.6018511381099623
ttbbDL,JERup,11,0.48883214193458546
ttbbDL,JERup,12,0.49694913484021574
ttbbDL,JERup,13,0.6236409533076802
ttbbDL,JERup,14,0.0
ttbbDL,JERup,15,0.8026955132849187
ttbbDL,JERdown,5,0.7662480451747086
ttbbDL,JERdown,6,0.7347516776288175
ttbbDL,JERdown,7,0.6979449119597585
ttbbDL,JERdown,8,0.6665485536658418
ttbbDL,JERdown,9,0.6382671327298441
ttbbDL,JERdown,10,0.6039395791626109
ttbbDL,JERdown,11,0.48661639593287304
ttbbDL,JERdown,12,0.5989818620228753
ttbbDL,JERdown,13,0.5485713925727279
ttbbDL,JERdown,14,0.0
ttbbDL,JERdown,15,0.8026955132849187
ttZH,nominal,5,0.8150419664475673
ttZH,nominal,6,0.7874844162254607
ttZH,nominal,7,0.7584485169719946
ttZH,nominal,8,0.7303437874558246
ttZH,nominal,9,0.7096034313649601
ttZH,nominal,10,0.6801643623785908
ttZH,nominal,11,0.6624480622461388
ttZH,nominal,12,0.6118512328718636
ttZH,nominal,13,0.6310562789788811
ttZH,nominal,14,0.49348737285789823
ttZH,nominal,15,0.3707314912561112
ttZH,JESup,5,0.8580642693154872
ttZH,JESup,6,0.8352751344131103
ttZH,JESup,7,0.8117254018288731
ttZH,JESup,8,0.7871685130323984
ttZH,JESup,9,0.7720876548289772
ttZH,JESup,10,0.7497712629713293
ttZH,JESup,11,0.7166170510886869
ttZH,JESup,12,0.6912134408746541
ttZH,JESup,13,0.7143077995896492
ttZH,JESup,14,0.5705490413090187
ttZH,JESup,15,0.4760254349697005
ttZH,JESdown,5,0.7791516811872992
ttZH,JESdown,6,0.7462460605005886
ttZH,JESdown,7,0.7137383506084763
ttZH,JESdown,8,0.6836018444121866
ttZH,JESdown,9,0.6591780854825036
ttZH,JESdown,10,0.6275435612532922
ttZH,JESdown,11,0.6116036681922827
ttZH,JESdown,12,0.5588918306736185
ttZH,JESdown,13,0.5888872175204232
ttZH,JESdown,14,0.42639428219197945
ttZH,JESdown,15,0.23014927275556793
ttZH,JERup,5,0.8150367285501025
ttZH,JERup,6,0.7874116278624246
ttZH,JERup,7,0.7579439023516036
ttZH,JERup,8,0.7302520992459531
ttZH,JERup,9,0.709452164201651
ttZH,JERup,10,0.6794161518026955
ttZH,JERup,11,0.6623496413842204
ttZH,JERup,12,0.6111195336685816
ttZH,JERup,13,0.6214139556170328
ttZH,JERup,14,0.4934873728586731
ttZH,JERup,15,0.3707314912517833
ttZH,JERdown,5,0.815323124811457
ttZH,JERdown,6,0.7876540605901868
ttZH,JERdown,7,0.7579766250586727
ttZH,JERdown,8,0.7313896354473478
ttZH,JERdown,9,0.7075975706409572
ttZH,JERdown,10,0.6853209060414355
ttZH,JERdown,11,0.6633669181947648
ttZH,JERdown,12,0.6246951459330602
ttZH,JERdown,13,0.610738031482014
ttZH,JERdown,14,0.5004899000100429
ttZH,JERdown,15,0.3707869592590137
ttZ,nominal,5,0.8212661664399631
ttZ,nominal,6,0.7999799378042499
ttZ,nominal,7,0.7712435548287895
ttZ,nominal,8,0.7322763090413175
ttZ,nominal,9,0.7240790120113053
ttZ,nominal,10,0.7202914152761747
ttZ,nominal,11,0.571091136057051
ttZ,nominal,12,0.6202670970517892
ttZ,nominal,13,0.8037851616393347
ttZ,nominal,14,0.5880611687238432
ttZ,JESup,5,0.8616434265206904
ttZ,JESup,6,0.8453384961444017
ttZ,JESup,7,0.8197859094586104
ttZ,JESup,8,0.7868907920049659
ttZ,JESup,9,0.7828390246312025
ttZ,JESup,10,0.7624688717042499
ttZ,JESup,11,0.623259333447572
ttZ,JESup,12,0.7397220559397676
