sample,syst,bin,ratio
ttHH,downcferr1,16,1.3563412084550426
ttHH,upcferr2,4,0.8990724234849462
ttHH,upcferr2,5,0.8665124141139148
ttHH,upcferr2,6,0.836436385838964
ttHH,upcferr2,7,0.80629886147318
ttHH,upcferr2,8,0.7673533331255905
ttHH,upcferr2,9,0.7315759029544373
ttHH,upcferr2,10,0.6971247701565254
ttHH,upcferr2,11,0.6616502565057137
ttHH,upcferr2,12,0.6287558115910891
ttHH,upcferr2,13,0.5748331244722873
ttHH,upcferr2,14,0.6698702744955928
ttHH,upcferr2,15,0.0
ttHH,upcferr2,16,0.5005445370126635
ttHH,downcferr2,4,0.9286842607748765
ttHH,downcferr2,5,0.9095974793589843
ttHH,downcferr2,6,0.8945167873189076
ttHH,downcferr2,7,0.8780858762325975
ttHH,downcferr2,8,0.8504007871391263
ttHH,downcferr2,9,0.8301111173267448
ttHH,downcferr2,10,0.7996062364458988
ttHH,downcferr2,11,0.7744169680090901
ttHH,downcferr2,12,0.7729436465856505
ttHH,downcferr2,13,0.6735704468618091
ttHH,downcferr2,14,0.8549140266406978
ttHH,downcferr2,15,0.0
ttHH,downcferr2,16,1.0208638930045384
ttHH,JESup,4,0.9343175974135112
ttHH,JESup,5,0.9166028894353863
ttHH,JESup,6,0.8946017681796454
ttHH,JESup,7,0.8762750801640508
ttHH,JESup,8,0.8488514582396895
ttHH,JESup,9,0.8193633737121164
ttHH,JESup,10,0.7917890928503437
ttHH,JESup,11,0.7530344064186472
ttHH,JESup,12,0.7140945521889622
ttHH,JESup,13,0.6806223867466906
ttHH,JESup,14,0.5281301136175522
ttHH,JESup,15,0.7210252611089054
ttHH,JESup,16,0.45760374389343333
ttHH,JESdown,4,0.9091080671072728
ttHH,JESdown,5,0.8865383912186388
ttHH,JESdown,6,0.8615830291188317
ttHH,JESdown,7,0.8405892314910434
ttHH,JESdown,8,0.8110024459772934
ttHH,JESdown,9,0.7798940159560181
ttHH,JESdown,10,0.7500869581687909
ttHH,JESdown,11,0.7200286507271191
ttHH,JESdown,12,0.6735648071279657
ttHH,JESdown,13,0.6060790308553253
ttHH,JESdown,14,0.6432268299693361
ttHH,JESdown,15,0.6853460621118003
ttHH,JERup,4,0.922004885720379
ttHH,JERup,5,0.9017157167185729
ttHH,JERup,6,0.8786397715735463
ttHH,JERup,7,0.8580489340086869
ttHH,JERup,8,0.8298591988117208
ttHH,JERup,9,0.8013738877320933
ttHH,JERup,10,0.7678878082345669
ttHH,JERup,11,0.7371761870907166
ttHH,JERup,12,0.6880005611530323
ttHH,JERup,13,0.6411305285929597
ttHH,JERup,14,0.5777584939843251
ttHH,JERup,15,0.8179833334515377
ttHH,JERup,16,0.4609590139028541
ttHH,JERdown,4,0.9220523023477276
ttHH,JERdown,5,0.9017857918139208
ttHH,JERdown,6,0.8787928158601738
ttHH,JERdown,7,0.8589130486657217
ttHH,JERdown,8,0.8302892837666739
ttHH,JERdown,9,0.800405222739333
ttHH,JERdown,10,0.7696556288266605
ttHH,JERdown,11,0.7393698778050406
ttHH,JERdown,12,0.6872292935090251
ttHH,JERdown,13,0.6306834696383808
ttHH,JERdown,14,0.6929153830487735
ttHH,JERdown,15,0.8910573158808701
ttHH,JERdown,16,0.46095901390446953
ttSL,nominal,4,0.9146939654796773
ttSL,nominal,5,0.8813488753409726
ttSL,nominal,6,0.8468767789437163
ttSL,nominal,7,0.8127048695765904
ttSL,nominal,8,0.7773342498278764
ttSL,nominal,9,0.7500274576008229
ttSL,nominal,10,0.742051959252406
ttSL,nominal,11,0.6154953443031943
ttSL,nominal,12,0.48950118922045155
ttSL,nominal,13,0.2979828214995076
ttSL,nominal,14,0.0
ttSL,nominal,15,0.8754878101364537
ttSL,uphf,4,0.9469740669218168
ttSL,uphf,5,0.9328726705271632
ttSL,uphf,6,0.9184044503830101
ttSL,uphf,7,0.9030773229385086
ttSL,uphf,8,0.8833292867545112
ttSL,uphf,9,0.8724405694687647
ttSL,uphf,10,0.8856246410876184
ttSL,uphf,11,0.7607026371924966
ttSL,uphf,12,0.6522970820468603
ttSL,uphf,13,0.4387910609099057
ttSL,uphf,14,0.0
ttSL,uphf,15,1.089288649231805
ttSL,downhf,4,0.8933998609056211
ttSL,downhf,5,0.8441819743214046
ttSL,downhf,6,0.7936198032948107
ttSL,downhf,7,0.7451360339225502
ttSL,downhf,8,0.698440002970153
ttSL,downhf,9,0.660123321090867
ttSL,downhf,10,0.639985315394343
ttSL,downhf,11,0.5171021962141247
ttSL,downhf,12,0.3749487472544367
ttSL,downhf,13,0.210293784230403
ttSL,downhf,14,0.0
ttSL,downhf,15,0.7194063211739833
ttSL,uplf,4,1.0640607014596268
ttSL,uplf,5,1.033810585693191
ttSL,uplf,6,0.9984199382254779
ttSL,uplf,7,0.9640538821036972
ttSL,uplf,8,0.9255488027256616
ttSL,uplf,9,0.9016731473101013
ttSL,uplf,10,0.8986680507805804
ttSL,uplf,11,0.8150306308763566
ttSL,uplf,12,0.5941637501069366
ttSL,uplf,13,0.42959363031670994
ttSL,uplf,14,0.0
ttSL,uplf,15,1.0382965864038383
ttSL,downlf,4,0.793056123419097
ttSL,downlf,5,0.7589676061430312
ttSL,downlf,6,0.7263008074394535
ttSL,downlf,7,0.6935501563480881
ttSL,downlf,8,0.6609950453965118
ttSL,downlf,9,0.6327347180282932
ttSL,downlf,10,0.6199121340614199
ttSL,downlf,11,0.4728938901612039
ttSL,downlf,12,0.412757463686227
ttSL,downlf,13,0.20760213183657242
ttSL,downlf,14,0.0
ttSL,downlf,15,0.7674203460913401
ttSL,uplfstats1,4,0.9872961410936184
ttSL,uplfstats1,5,0.9769200787355947
ttSL,uplfstats1,6,0.9648592965941357
ttSL,uplfstats1,7,0.9519766053218611
ttSL,uplfstats1,8,0.9348408301351431
ttSL,uplfstats1,9,0.9281434696202236
ttSL,uplfstats1,10,0.9477096387410727
ttSL,uplfstats1,11,0.8035793137607572
ttSL,uplfstats1,12,0.6457196599065118
ttSL,uplfstats1,13,0.4078317975805383
ttSL,uplfstats1,14,0.0
ttSL,uplfstats1,15,1.335819707176333
ttSL,downlfstats1,4,0.8476018871958101
ttSL,downlfstats1,5,0.7953437621437209
ttSL,downlfstats1,6,0.7435384121792437
ttSL,downlfstats1,7,0.6940466635172642
ttSL,downlfstats1,8,0.6467773988310626
ttSL,downlfstats1,9,0.6061356451453063
ttSL,downlfstats1,10,0.5816591768770734
ttSL,downlfstats1,11,0.47233192767437243
ttSL,downlfstats1,12,0.3681293239114303
ttSL,downlfstats1,13,0.21816583649077495
ttSL,downlfstats1,14,0.0
ttSL,downlfstats1,15,0.5710806911871211
ttSL,uplfstats2,4,0.9752493273432713
ttSL,uplfstats2,5,0.962201603092386
ttSL,uplfstats2,6,0.9476492077774035
ttSL,uplfstats2,7,0.9323849068838028
ttSL,uplfstats2,8,0.9130778031148336
ttSL,uplfstats2,9,0.9040669289474401
ttSL,uplfstats2,10,0.9188269377096329
ttSL,uplfstats2,11,0.7796924524386698
ttSL,uplfstats2,12,0.6317778828953067
ttSL,uplfstats2,13,0.40900735866179133
ttSL,uplfstats2,14,0.0
ttSL,uplfstats2,15,1.2553181949537602
ttSL,downlfstats2,4,0.857931610631901
ttSL,downlfstats2,5,0.8073266802753021
ttSL,downlfstats2,6,0.7568341850369805
ttSL,downlfstats2,7,0.7083464414742224
ttSL,downlfstats2,8,0.6618482289307082
ttSL,downlfstats2,9,0.6219816683852777
ttSL,downlfstats2,10,0.599656370313055
ttSL,downlfstats2,11,0.48660997907367
ttSL,downlfstats2,12,0.37625972216902864
ttSL,downlfstats2,13,0.2161329123769255
ttSL,downlfstats2,14,0.0
ttSL,downlfstats2,15,0.6077089865889376
ttSL,uphfstats1,4,0.881882364546838
ttSL,uphfstats1,5,0.8479163530148611
ttSL,uphfstats1,6,0.8136106172086714
ttSL,uphfstats1,7,0.7792395545766988
ttSL,uphfstats1,8,0.7445850405364887
ttSL,uphfstats1,9,0.7156837349486019
