sample,syst,bin,ratio
ttDL,nominal,9,0.8298900375979131
ttDL,nominal,10,0.6461066548397971
ttDL,nominal,11,0.866525165877688
ttDL,nominal,12,0.8053298476793367
ttDL,JESup,5,0.9118325620280748
ttDL,JESup,6,0.8943095421411615
ttDL,JESup,7,0.8816355850818652
ttDL,JESup,8,0.865744887519721
ttDL,JESup,9,0.8460464709380439
ttDL,JESup,10,0.7095302880283354
ttDL,JESup,11,0.7819059835445958
ttDL,JESup,12,0.8040897223071918
ttDL,JESdown,5,0.8638386322235074
ttDL,JESdown,6,0.8415110362151301
ttDL,JESdown,7,0.8163262771527574
ttDL,JESdown,8,0.8005349869715583
ttDL,JESdown,9,0.7961007786510669
ttDL,JESdown,10,0.6503765421611233
ttDL,JESdown,11,0.7726621828513895
ttDL,JESdown,12,0.8454963858671853
ttDL,JERup,5,0.8862637300994612
ttDL,JERup,6,0.86893998316348
ttDL,JERup,7,0.8440262545486735
ttDL,JERup,8,0.8375629659812329
ttDL,JERup,9,0.8285452988107153
ttDL,JERup,10,0.6353037301556625
ttDL,JERup,11,0.8752114014396011
ttDL,JERup,12,0.7267780993032523
ttDL,JERdown,5,0.8870435417811032
ttDL,JERdown,6,0.8673851887665092
ttDL,JERdown,7,0.8499331613215998
ttDL,JERdown,8,0.8269799570411297
ttDL,JERdown,9,0.8335087769533799
ttDL,JERdown,10,0.6501089042675192
ttDL,JERdown,11,0.7956953865638077
ttDL,JERdown,12,0.8814591156632625
ttbbSL,nominal,5,0.9086438753561915
ttbbSL,nominal,6,0.89671805445072
ttbbSL,nominal,7,0.8791310579333735
ttbbSL,nominal,8,0.8582274639722702
ttbbSL,nominal,9,0.8546733739542601
ttbbSL,nominal,10,0.8251059081025821
ttbbSL,nominal,11,0.826753918783358
ttbbSL,nominal,12,0.9190245757302187
ttbbSL,nominal,13,0.6028706421354018
ttbbSL,nominal,14,0.8962796199634131
ttbbSL,nominal,15,0.4099757005310883
ttbbSL,JESup,5,0.9313046737151081
ttbbSL,JESup,6,0.9221624082609314
ttbbSL,JESup,7,0.9076395396637617
ttbbSL,JESup,8,0.893309649401054
ttbbSL,JESup,9,0.8867333599004512
ttbbSL,JESup,10,0.8695466396602448
ttbbSL,JESup,11,0.8715516624798548
ttbbSL,JESup,12,0.8349187878208386
ttbbSL,JESup,13,0.6476144228381671
ttbbSL,JESup,14,0.976392021919529
ttbbSL,JESup,15,0.41073003883805664
ttbbSL,JESdown,5,0.8868380892614528
ttbbSL,JESdown,6,0.8709173045909891
ttbbSL,JESdown,7,0.8507955754375314
ttbbSL,JESdown,8,0.8276034868435254
ttbbSL,JESdown,9,0.8176077315178658
ttbbSL,JESdown,10,0.789332445730712
ttbbSL,JESdown,11,0.7949082628070079
ttbbSL,JESdown,12,0.8015783826484791
ttbbSL,JESdown,13,0.7935260242731585
ttbbSL,JESdown,14,0.841087471415683
ttbbSL,JESdown,15,0.3994222989386038
ttbbSL,JERup,5,0.9086330439602763
ttbbSL,JERup,6,0.8966923179827173
ttbbSL,JERup,7,0.8795742198939479
ttbbSL,JERup,8,0.8576767918876169
ttbbSL,JERup,9,0.8549438078904316
ttbbSL,JERup,10,0.8254109519017996
ttbbSL,JERup,11,0.8186845226560857
ttbbSL,JERup,12,0.8913046026187531
ttbbSL,JERup,13,0.6028706421396167
ttbbSL,JERup,14,0.896279619962718
ttbbSL,JERup,15,0.40735280747017455
ttbbSL,JERdown,5,0.90881295697555
ttbbSL,JERdown,6,0.8964216176133999
ttbbSL,JERdown,7,0.8777998554453696
ttbbSL,JERdown,8,0.859786854932175
ttbbSL,JERdown,9,0.8523983549994496
ttbbSL,JERdown,10,0.8259522291886766
ttbbSL,JERdown,11,0.8322901721896728
ttbbSL,JERdown,12,0.882724449197236
ttbbSL,JERdown,13,0.6028706421379428
ttbbSL,JERdown,14,0.8962796199574068
ttbbSL,JERdown,15,0.4099757005310883
ttbbDL,nominal,5,0.8626266574658784
ttbbDL,nominal,6,0.8464040046637946
ttbbDL,nominal,7,0.8252171731573269
ttbbDL,nominal,8,0.7988113528354348
ttbbDL,nominal,9,0.8071431951426544
ttbbDL,nominal,10,0.7991115626220268
ttbbDL,nominal,11,0.8818906455753215
ttbbDL,nominal,12,0.6138224776415862
ttbbDL,nominal,13,0.6290952690713666
ttbbDL,nominal,14,0.4326579589922662
ttbbDL,JESup,5,0.8875196111636334
ttbbDL,JESup,6,0.8753808689575858
ttbbDL,JESup,7,0.8536445497893971
ttbbDL,JESup,8,0.8330084009300968
ttbbDL,JESup,9,0.8411111689548251
ttbbDL,JESup,10,0.8442519917746316
ttbbDL,JESup,11,0.8707457558341245
ttbbDL,JESup,12,0.8194143259051165
ttbbDL,JESup,13,0.4805285834340156
ttbbDL,JESup,14,0.45155201111169596
ttbbDL,JESdown,5,0.8379554828243924
ttbbDL,JESdown,6,0.8202550580897776
ttbbDL,JESdown,7,0.7965994591879537
ttbbDL,JESdown,8,0.7641972101535892
ttbbDL,JESdown,9,0.774157088600119
ttbbDL,JESdown,10,0.7664090975568315
ttbbDL,JESdown,11,0.8294880923704835
ttbbDL,JESdown,12,0.6649381722988897
ttbbDL,JESdown,13,0.45183129386356735
ttbbDL,JERup,5,0.8627364193502338
ttbbDL,JERup,6,0.847008538064331
ttbbDL,JERup,7,0.8235118881911874
ttbbDL,JERup,8,0.7994683709596218
ttbbDL,JERup,9,0.812207236900994
ttbbDL,JERup,10,0.7992097732943382
ttbbDL,JERup,11,0.8890158410801136
ttbbDL,JERup,12,0.6114592341817239
ttbbDL,JERup,13,0.6290952690713666
ttbbDL,JERup,14,0.4429415989228091
ttbbDL,JERdown,5,0.8627272697583854
ttbbDL,JERdown,6,0.845890035860894
ttbbDL,JERdown,7,0.8238928130740372
ttbbDL,JERdown,8,0.797530666126379
ttbbDL,JERdown,9,0.8173158355085791
ttbbDL,JERdown,10,0.809238139807081
ttbbDL,JERdown,11,0.8332507233408567
ttbbDL,JERdown,12,0.702724076191508
ttbbDL,JERdown,13,0.491322281253132
ttbbDL,JERdown,14,0.49597311288275614
ttZH,nominal,5,0.887534334148612
ttZH,nominal,6,0.873403025545549
ttZH,nominal,7,0.8594677369253425
ttZH,nominal,8,0.844435090390537
ttZH,nominal,9,0.8350424521178429
ttZH,nominal,10,0.812933525627031
ttZH,nominal,11,0.7944063647579676
ttZH,nominal,12,0.825115427654414
ttZH,nominal,13,0.6314983244677141
ttZH,nominal,14,0.6400297735719255
ttZH,nominal,15,0.0
ttZH,nominal,16,0.0
ttZH,nominal,17,0.5213461590872612
ttZH,JESup,5,0.9103744306724665
ttZH,JESup,6,0.9000712523034171
ttZH,JESup,7,0.8895366348641035
ttZH,JESup,8,0.8783306546871411
ttZH,JESup,9,0.8710844458038334
ttZH,JESup,10,0.8519689310581986
ttZH,JESup,11,0.8419316319691612
ttZH,JESup,12,0.8635045371977483
ttZH,JESup,13,0.6846448792945755
ttZH,JESup,14,0.626512589869896
ttZH,JESup,15,1.0037016138386743
ttZH,JESup,16,0.0
ttZH,JESup,17,0.575549012449538
ttZH,JESdown,5,0.8658510950656915
ttZH,JESdown,6,0.847915512973001
ttZH,JESdown,7,0.8307263837267768
ttZH,JESdown,8,0.8139661892051766
ttZH,JESdown,9,0.8005261873111845
ttZH,JESdown,10,0.7739278648700798
ttZH,JESdown,11,0.7558121067946261
ttZH,JESdown,12,0.8022356235518058
ttZH,JESdown,13,0.5752171272980097
ttZH,JESdown,14,0.6194042878676962
ttZH,JESdown,15,0.0
ttZH,JESdown,16,0.472068851661467
ttZH,JERup,5,0.887480209853626
ttZH,JERup,6,0.8735562942349314
ttZH,JERup,7,0.8595891140727879
ttZH,JERup,8,0.8446537641017358
ttZH,JERup,9,0.8353421407248454
ttZH,JERup,10,0.8117084440253163
ttZH,JERup,11,0.7916781222397533
ttZH,JERup,12,0.825427641494267
ttZH,JERup,13,0.6817568419584168
ttZH,JERup,14,0.4820736099163625
ttZH,JERup,15,0.0
ttZH,JERup,16,0.0
ttZH,JERup,17,0.5213461590872612
ttZH,JERdown,5,0.8871105567058583
ttZH,JERdown,6,0.873417529829814
ttZH,JERdown,7,0.8588221728011367
ttZH,JERdown,8,0.844889881676662
ttZH,JERdown,9,0.8351872484083465
ttZH,JERdown,10,0.8130790846391819
ttZH,JERdown,11,0.7934814201771297
ttZH,JERdown,12,0.8406342560277239
ttZH,JERdown,13,0.6389393180077048
ttZH,JERdown,14,0.5581673738822385
ttZH,JERdown,15,0.0
ttZH,JERdown,16,0.5223344409591898
ttZ,nominal,5,0.90103429588275
ttZ,nominal,6,0.8952488592887615
ttZ,nominal,7,0.8825158342934253
ttZ,nominal,8,0.863910454069504
ttZ,nominal,9,0.8395723097059291
ttZ,nominal,10,0.835521664565896
ttZ,nominal,11,0.8040663844279755
ttZ,nominal,12,1.1369858952878193
ttZ,nominal,13,0.8945790660613598
ttZ,nominal,14,2.083851925859301
ttZ,JESup,5,0.9235711031430041
ttZ,JESup,6,0.921538276087168
ttZ,JESup,7,0.9126263664757871
ttZ,JESup,8,0.8935764827331811
ttZ,JESup,9,0.877923471332558
ttZ,JESup,10,0.8743300907581548
ttZ,JESup,11,0.7849768389655128
ttZ,JESup,12,1.1800969392275626
ttZ,JESup,13,0.7995816234241879
ttZ,JESup,14,1.8497436121639297
ttZ,JESdown,5,0.8787375695764196
ttZ,JESdown,6,0.8714699025071427
ttZ,JESdown,7,0.853994410854732
ttZ,JESdown,8,0.829294839727143
ttZ,JESdown,9,0.8045740352488424
ttZ,JESdown,10,0.801024305734457
ttZ,JESdown,11,0.8130596464596823
ttZ,JESdown,12,1.0438806903774516
ttZ,JESdown,13,0.7823090646241466
ttZ,JESdown,14,2.051555709193031
ttZ,JERup,5,0.9011049900589954
ttZ,JERup,6,0.8956530622539274
ttZ,JERup,7,0.8819529662764611
ttZ,JERup,8,0.8637037908175399
ttZ,JERup,9,0.8417311868538901
ttZ,JERup,10,0.8341942314108712
ttZ,JERup,11,0.7907042744265171
ttZ,JERup,12,1.137153383441543
ttZ,JERup,13,0.8885086310931858
ttZ,JERup,14,1.2679680177599246
ttZ,JERdown,5,0.9012310883366587
ttZ,JERdown,6,0.8955829029135143
ttZ,JERdown,7,0.8832466150317609
ttZ,JERdown,8,0.8647855063724864
ttZ,JERdown,9,0.8267243097006667
ttZ,JERdown,10,0.8603446007422537
ttZ,JERdown,11,0.8123477555803351
ttZ,JERdown,12,1.3791114975712204
ttZ,JERdown,13,0.6788058244991247
ttZ,JERdown,14,0.48406614418621263
ttHSL,nominal,5,0.912603419983177
ttHSL,nominal,6,0.9015528339724309
ttHSL,nominal,7,0.887137655177238
ttHSL,nominal,8,0.8712467793128917
ttHSL,nominal,9,0.8599323365050214
ttHSL,nominal,10,0.8425538217373205
ttHSL,nominal,11,0.8372653568365744
ttHSL,nominal,12,0.8111435572992368
ttHSL,nominal,13,0.6905653260978553
ttHSL,nominal,14,0.598570876144508
ttHSL,nominal,15,1.2053163266555897
ttHSL,JESup,5,0.9342690933535378
ttHSL,JESup,6,0.9276424465912931
ttHSL,JESup,7,0.9163459229453854
ttHSL,JESup,8,0.9033504912178998
ttHSL,JESup,9,0.8973659653640768
ttHSL,JESup,10,0.8787009706769185
ttHSL,JESup,11,0.8664452464820418
ttHSL,JESup,12,0.8283397612629129
ttHSL,JESup,13,0.8164927886638401
ttHSL,JESup,14,0.575211867301117
ttHSL,JESup,15,1.3183704256274
ttHSL,JESdown,5,0.8916174832213494
ttHSL,JESdown,6,0.8766143145567367
ttHSL,JESdown,7,0.8592561818673686
ttHSL,JESdown,8,0.8412610785105469
ttHSL,JESdown,9,0.8278337466516509
ttHSL,JESdown,10,0.8044290360779305
ttHSL,JESdown,11,0.7965640857850204
ttHSL,JESdown,12,0.7601338257529724
ttHSL,JESdown,13,0.6616195507658231
ttHSL,JESdown,14,0.49720123289277224
ttHSL,JESdown,15,1.1354305961613036
ttHSL,JERup,5,0.9127694873983063
ttHSL,JERup,6,0.901859059856677
ttHSL,JERup,7,0.8874049853236854
ttHSL,JERup,8,0.8716119563816723
ttHSL,JERup,9,0.8609591362618454
ttHSL,JERup,10,0.8415012805902592
ttHSL,JERup,11,0.8393504634728892
ttHSL,JERup,12,0.8026743913142281
ttHSL,JERup,13,0.6890340151972776
ttHSL,JERup,14,0.5985708761570167
ttHSL,JERup,15,1.205316326613754
ttHSL,JERdown,5,0.9125233052245597
ttHSL,JERdown,6,0.9017062540529137
ttHSL,JERdown,7,0.8869523893696845
ttHSL,JERdown,8,0.8704797388525943
ttHSL,JERdown,9,0.8590823830277857
ttHSL,JERdown,10,0.8391398513005277
ttHSL,JERdown,11,0.8358061699524447
ttHSL,JERdown,12,0.795457893790047
ttHSL,JERdown,13,0.6993438225155991
ttHSL,JERdown,14,0.5425281328926689
ttHSL,JERdown,15,1.1980405392703137
ttHDL,nominal,5,0.8692388134921039
ttHDL,nominal,6,0.8508526934030266
ttHDL,nominal,7,0.8322682716766671
ttHDL,nominal,8,0.8071517790779694
ttHDL,nominal,9,0.7895197491515293
ttHDL,nominal,10,0.7483321868581443
ttHDL,nominal,11,0.6831303255090141
ttHDL,nominal,12,0.8273957623319408
ttHDL,nominal,13,0.6242974308393415
ttHDL,nominal,14,0.0
ttHDL,nominal,15,0.9637406390370815
ttHDL,JESup,5,0.8940396955365749
ttHDL,JESup,6,0.8788535383953707
ttHDL,JESup,7,0.8645945414088548
ttHDL,JESup,8,0.8421344453011634
ttHDL,JESup,9,0.8269904356318617
ttHDL,JESup,10,0.7843678113484533
ttHDL,JESup,11,0.7236713476559897
ttHDL,JESup,12,0.8495798244077903
ttHDL,JESup,13,0.6697576712269447
ttHDL,JESup,14,0.6528131007327594
ttHDL,JESup,15,1.0244140247657625
ttHDL,JESdown,5,0.8450074867040187
ttHDL,JESdown,6,0.8236680058995016
ttHDL,JESdown,7,0.802968486592895
ttHDL,JESdown,8,0.7800910756150403
ttHDL,JESdown,9,0.7468621533134036
ttHDL,JESdown,10,0.7101294902734182
ttHDL,JESdown,11,0.6666104224414452
ttHDL,JESdown,12,0.7521206099377894
ttHDL,JESdown,13,0.5667943393116005
ttHDL,JESdown,14,0.0
ttHDL,JESdown,15,0.8939912507494573
ttHDL,JERup,5,0.8693711011044648
ttHDL,JERup,6,0.8504841861907605
ttHDL,JERup,7,0.8332474648950458
ttHDL,JERup,8,0.805705668672271
ttHDL,JERup,9,0.7899327390732016
ttHDL,JERup,10,0.7470631396368479
ttHDL,JERup,11,0.6831962906499667
