sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttbbSL,Weight_pdf_variation_320944,0.984414028,0.985027463,-1,-1,-1,-1,0.984414028
ttbbSL,Weight_pdf_variation_320945,1.003203631,1.003614049,-1,-1,-1,-1,1.003203631
ttbbSL,Weight_pdf_variation_320946,0.993701207,0.993804708,-1,-1,-1,-1,0.993701207
ttbbSL,Weight_pdf_variation_320947,0.996658998,0.998432916,-1,-1,-1,-1,0.996658998
ttbbSL,Weight_pdf_variation_320948,0.993647691,0.994349344,-1,-1,-1,-1,0.993647691
ttbbSL,Weight_pdf_variation_320949,1.003481673,1.002493563,-1,-1,-1,-1,1.003481673
ttbbSL,Weight_pdf_variation_320950,0.989801986,0.989178807,-1,-1,-1,-1,0.989801986
ttbbSL,Weight_pdf_variation_320951,0.995632513,0.996147242,-1,-1,-1,-1,0.995632513
ttbbSL,Weight_pdf_variation_320952,1.00808411,1.007243956,-1,-1,-1,-1,1.00808411
ttbbSL,Weight_pdf_variation_320953,0.996937623,0.996979391,-1,-1,-1,-1,0.996937623
ttbbSL,Weight_pdf_variation_320954,1.003738207,1.004122821,-1,-1,-1,-1,1.003738207
ttbbSL,Weight_pdf_variation_320955,1.009426838,1.011168131,-1,-1,-1,-1,1.009426838
ttbbSL,Weight_pdf_variation_320956,0.99628401,0.99578322,-1,-1,-1,-1,0.99628401
ttbbSL,Weight_pdf_variation_320957,1.012741589,1.012814152,-1,-1,-1,-1,1.012741589
ttbbSL,Weight_pdf_variation_320958,0.990594059,0.990187613,-1,-1,-1,-1,0.990594059
ttbbSL,Weight_pdf_variation_320959,1.008465052,1.00695578,-1,-1,-1,-1,1.008465052
ttbbSL,Weight_pdf_variation_320960,1.003728733,1.004320967,-1,-1,-1,-1,1.003728733
ttbbSL,Weight_pdf_variation_320961,0.999034823,0.998285763,-1,-1,-1,-1,0.999034823
