Name,ttSL,ttDL,ttH
Weight_pdf_variation_306072,0.999874135336,0.999874718712,0.999747599577
Weight_pdf_variation_306073,1.00048910287,1.00049176465,1.00058048333
Weight_pdf_variation_306074,1.00051321878,1.00051309459,1.00072390257
Weight_pdf_variation_306075,1.00045737359,1.00045811504,1.0004843566
Weight_pdf_variation_306076,0.999564362383,0.999564130754,0.999312572154
Weight_pdf_variation_306077,1.0010875736,1.00109066999,1.00145425645
Weight_pdf_variation_306078,0.999786439333,0.999788338561,0.999596652004
Weight_pdf_variation_306079,0.999708440185,0.999709619466,0.999691913725
Weight_pdf_variation_306080,0.999625798742,0.999627075715,0.999454388162
Weight_pdf_variation_306081,0.999746859181,0.999749183025,0.999778671733
Weight_pdf_variation_306082,0.999585407114,0.999585885485,0.999526634641
