Unnamed: 0,Name,ttSL,ttDL
93,Weight_pdf_variation_306086,0.999998889812,0.999997813199
94,Weight_pdf_variation_306087,0.99997890642,0.999981412192
95,Weight_pdf_variation_306088,1.00000777132,1.0000087472
96,Weight_pdf_variation_306089,0.999986677739,0.999987972595
97,Weight_pdf_variation_306090,0.999987787927,0.999986879195
98,Weight_pdf_variation_306091,0.999998889812,1.0000010934
99,Weight_pdf_variation_306092,1.00001665283,1.00001749441
100,Weight_pdf_variation_306093,0.999982236985,0.999980318792
101,Weight_pdf_variation_306094,1.00001554264,1.00001749441
102,Weight_pdf_variation_306095,1.00000777132,1.000005467
103,Weight_pdf_variation_306096,0.999992228681,0.999994532998
104,Weight_pdf_variation_306097,1.00005217886,1.00004810962
105,Weight_pdf_variation_306098,0.999955592463,0.999956263982
106,Weight_pdf_variation_306099,1.00000444075,1.000005467
107,Weight_pdf_variation_306100,1.00000555094,1.000005467
108,Weight_pdf_variation_306101,1.00019095241,1.00020009228
109,Weight_pdf_variation_306102,0.999765750243,0.999756171699
110,Weight_scale_variation_muR_0p5_muF_0p5,0.998014983103,0.997981582763
111,Weight_scale_variation_muR_0p5_muF_1p0,0.998668884083,0.998635436234
112,Weight_scale_variation_muR_1p0_muF_0p5,0.999510406906,0.999511249997
113,Weight_scale_variation_muR_1p0_muF_1p0,1.0,1.0
114,Weight_scale_variation_muR_1p0_muF_2p0,1.00045961801,1.00045922819
115,Weight_scale_variation_muR_2p0_muF_1p0,1.00093699903,1.0009621924
116,Weight_scale_variation_muR_2p0_muF_2p0,1.00129558989,1.00131973435
