sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttH,Weight_pdf_variation_306102,0.970334592,0.970334592,-1,-1,-1,-1,0.970334592
ttH,GenWeight_fsr_Def_down,0.999478396,0.999478396,-1,-1,-1,-1,0.999478396
ttH,GenWeight_fsr_Def_up,0.999591418,0.999591418,-1,-1,-1,-1,0.999591418
ttH,GenWeight_isr_Def_down,0.999573935,0.999573935,-1,-1,-1,-1,0.999573935
ttH,GenWeight_isr_Def_up,0.999605842,0.999605842,-1,-1,-1,-1,0.999605842
ttbbDL,Weight_scale_variation_muR_1p0_muF_1p0,0.999994277,0.999994189,1,1,1,0.040220811,0.999994277
ttbbDL,Weight_scale_variation_muR_2p0_muF_1p0,1.384513564,1.390431674,0.986314046,0.990784262,1.000962192,0.039501506,1.365565176
ttbbDL,Weight_scale_variation_muR_2p0_muF_2p0,1.444545492,1.445231972,0.983099552,0.986762009,1.001319734,0.039522248,1.420132026
ttbbDL,Weight_scale_variation_muR_0p5_muF_1p0,0.743369378,0.760667485,1.01943308,1.013099293,0.998635436,0.04006999,0.757815335
ttbbDL,Weight_scale_variation_muR_0p5_muF_0p5,0.743438411,0.771046382,1.026884863,1.019957158,0.997981583,0.039823285,0.763425651
ttbbDL,Weight_scale_variation_muR_1p0_muF_2p0,1.025859715,1.019961902,0.995080849,0.995099323,1.000459228,0.0402544,1.020813357
ttbbDL,Weight_scale_variation_muR_1p0_muF_0p5,0.966461502,0.971740586,1.004821742,1.005378415,0.99951125,0.040195219,0.97112153
ttbbDL,Weight_LHA_320900_nominal,0.999776645,0.99973439,-1,-1,-1,-1,0.999776645
ttbbDL,Weight_LHA_320900_up,0.971842467,0.969725819,-1,-1,-1,-1,0.971842467
ttbbDL,Weight_LHA_320900_down,1.029364201,1.031659526,-1,-1,-1,-1,1.029364201
ttbbDL,Weight_pdf_variation_320900,0.999994266,0.999994582,-1,-1,-1,-1,0.999994266
